City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,yellowknife,62.456,-114.3525,-2.71,100,100,0.0,CA,1669080393
1,thompson,55.7435,-97.8558,-6.91,86,100,3.6,CA,1669080393
2,bredasdorp,-34.5322,20.0403,15.15,75,92,0.62,ZA,1669080394
3,leningradskiy,69.3833,178.4167,-24.34,90,97,6.38,RU,1669080234
4,saint-philippe,-21.3585,55.7679,21.77,84,53,1.71,RE,1669080394
5,albany,42.6001,-73.9662,3.18,47,76,3.62,US,1669080395
6,avera,33.194,-82.5271,8.73,35,95,2.37,US,1669080395
7,nikolskoye,59.7035,30.7861,-7.06,91,100,2.09,RU,1669080395
8,souillac,-20.5167,57.5167,21.21,88,40,2.57,MU,1669080396
9,hithadhoo,-0.6,73.0833,26.81,78,13,4.59,MV,1669080397
10,ottawa,45.4112,-75.6981,4.02,64,100,10.29,CA,1669079744
11,jamestown,42.097,-79.2353,5.77,50,40,4.63,US,1669080226
12,kuala terengganu,5.3302,103.1408,26.97,89,20,2.06,MY,1669080397
13,arraial do cabo,-22.9661,-42.0278,23.2,87,13,9.73,BR,1669080398
14,stromness,58.965,-3.296,5.49,84,100,8.49,GB,1669080398
15,busselton,-33.65,115.3333,22.0,42,5,4.89,AU,1669080399
16,vaini,-21.2,-175.2,29.09,70,20,3.6,TO,1669080399
17,upernavik,72.7868,-56.1549,-13.23,99,64,3.46,GL,1669080399
18,kodiak,57.79,-152.4072,4.73,93,75,0.0,US,1669080400
19,bouillante,16.1304,-61.7692,22.57,81,73,6.6,GP,1669080400
20,bluff,-46.6,168.3333,13.22,86,100,2.98,NZ,1669080400
21,dunmore town,25.5,-76.65,26.92,76,30,6.02,BS,1669080401
22,arlit,18.7369,7.3853,22.72,12,100,2.74,NE,1669080262
23,dikson,73.5069,80.5464,-31.09,98,32,2.77,RU,1669080402
24,menongue,-14.6585,17.691,19.29,68,91,0.75,AO,1669080340
25,tabou,4.423,-7.3528,25.35,86,3,3.04,CI,1669080402
26,mount gambier,-37.8333,140.7667,15.03,65,98,6.41,AU,1669080402
27,rawson,-43.3002,-65.1023,13.93,49,13,10.57,AR,1669080135
28,chuy,-33.6971,-53.4616,19.36,95,100,4.4,UY,1669080403
29,victoria,22.2855,114.1577,24.62,84,100,4.92,HK,1669080403
30,dudinka,69.4058,86.1778,-30.77,99,100,0.85,RU,1669080404
31,rikitea,-23.1203,-134.9692,22.8,86,100,7.65,PF,1669080404
32,punta arenas,-53.15,-70.9167,11.06,76,40,10.29,CL,1669080394
33,kirakira,-10.4544,161.9205,30.44,61,3,2.79,SB,1669080311
34,hermanus,-34.4187,19.2345,16.0,73,97,1.5,ZA,1669080405
35,esperance,-33.8667,121.9,17.43,54,0,4.23,AU,1669080405
36,iralaya,15.0,-83.2333,26.02,84,100,4.48,HN,1669080406
37,ushuaia,-54.8,-68.3,12.81,54,20,5.66,AR,1669080406
38,hobart,-42.8794,147.3294,14.92,51,75,7.72,AU,1669080256
39,piracanjuba,-17.3028,-49.0167,20.82,70,96,2.14,BR,1669080407
